plate,state,license_type,summons_number,issue_date,violation_time,violation,fine_amount,penalty_amount,interest_amount,reduction_amount,payment_amount,amount_due,precinct,county,issuing_agency,summons_image,violation_status
KNX7989,NY,PAS,9116836662,4/1/2024,08:49A,NO PARKING-STREET CLEANING,65,0,0,0,0.0,65.0,77,K,TRAFFIC,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDFSRmVFNXFaM3BPYWxreVRXYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",
LJB7482,NY,PAS,9116836674,4/1/2024,08:51A,NO PARKING-STREET CLEANING,65,0,0,0,0.0,65.0,77,K,TRAFFIC,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDFSRmVFNXFaM3BPYWxrelRrRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",
91DFEE,FL,PAS,9116836686,4/1/2024,08:51A,NO PARKING-STREET CLEANING,65,0,0,0,0.0,65.0,77,K,TRAFFIC,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDFSRmVFNXFaM3BPYWxrMFRtYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",
KEW3045,NY,PAS,9116836704,4/1/2024,08:57A,NO PARKING-STREET CLEANING,65,0,0,0,0.0,65.0,77,K,TRAFFIC,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDFSRmVFNXFaM3BPYW1OM1RrRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",
KXZ6451,NY,PAS,9116836716,4/1/2024,08:58A,NO PARKING-STREET CLEANING,65,0,0,0,0.0,65.0,77,K,TRAFFIC,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDFSRmVFNXFaM3BPYW1ONFRtYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",
HMV6521,NY,PAS,9116836728,4/1/2024,08:59A,NO PARKING-STREET CLEANING,65,0,0,0,0.0,65.0,77,K,TRAFFIC,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDFSRmVFNXFaM3BPYW1ONVQwRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",
AU95261,CT,PAS,9116836765,4/1/2024,09:03A,NO PARKING-STREET CLEANING,65,0,0,0,0.0,65.0,77,K,TRAFFIC,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDFSRmVFNXFaM3BPYW1NeVRsRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",
KXZ7522,NY,PAS,9116836777,4/1/2024,09:08A,NO PARKING-STREET CLEANING,65,0,0,0,0.0,65.0,77,K,TRAFFIC,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDFSRmVFNXFaM3BPYW1NelRuYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",
LGM7749,NY,PAS,9116836789,4/1/2024,09:09A,NO PARKING-STREET CLEANING,65,0,0,0,0.0,65.0,77,K,TRAFFIC,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDFSRmVFNXFaM3BPYW1NMFQxRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",
TD269,RI,PAS,9116836807,4/1/2024,09:16A,FIRE HYDRANT,115,0,0,0,0.0,115.0,77,K,TRAFFIC,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDFSRmVFNXFaM3BPYW1kM1RuYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",
AG55002,CT,PAS,9116836558,4/1/2024,08:37A,NO PARKING-STREET CLEANING,65,0,0,0,65.0,0.0,77,K,TRAFFIC,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDFSRmVFNXFaM3BPYWxVeFQwRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",
KLG3956,NY,PAS,9116836819,4/1/2024,09:18A,FRONT OR BACK PLATE MISSING,65,0,0,0,0.0,65.0,77,K,TRAFFIC,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDFSRmVFNXFaM3BPYW1kNFQxRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",
JNT9113,NY,PAS,9116836820,4/1/2024,09:21A,FAIL TO DSPLY MUNI METER RECPT,35,0,0,0,0.0,35.0,77,K,TRAFFIC,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDFSRmVFNXFaM3BPYW1kNVRVRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",
7MQU265,CA,PAS,9116836832,4/1/2024,09:23A,FAIL TO DSPLY MUNI METER RECPT,35,0,0,0,0.0,35.0,77,K,TRAFFIC,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDFSRmVFNXFaM3BPYW1kNlRXYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",
KLF8982,NY,PAS,9116836844,4/1/2024,09:24A,NO STANDING-EXC. AUTH. VEHICLE,95,0,0,0,0.0,95.0,77,K,TRAFFIC,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDFSRmVFNXFaM3BPYW1jd1RrRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",
LGK4620,NY,PAS,9116836856,4/1/2024,09:27A,INSP. STICKER-EXPIRED/MISSING,65,0,0,0,0.0,65.0,77,K,TRAFFIC,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDFSRmVFNXFaM3BPYW1jeFRtYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",
GYU8576,NY,PAS,9116836868,4/1/2024,09:30A,NO PARKING-STREET CLEANING,65,0,0,0,0.0,65.0,77,K,TRAFFIC,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDFSRmVFNXFaM3BPYW1jeVQwRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",
HXW5928,NY,PAS,9116836870,4/1/2024,09:31A,NO PARKING-STREET CLEANING,65,0,0,0,0.0,65.0,77,K,TRAFFIC,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDFSRmVFNXFaM3BPYW1jelRVRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",
JMF3220,NY,PAS,9116836881,4/1/2024,09:32A,NO PARKING-STREET CLEANING,65,0,0,0,0.0,65.0,77,K,TRAFFIC,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDFSRmVFNXFaM3BPYW1jMFRWRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",
AR42994,CT,PAS,9116836893,4/1/2024,09:33A,NO PARKING-STREET CLEANING,65,0,0,0,0.0,65.0,77,K,TRAFFIC,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDFSRmVFNXFaM3BPYW1jMVRYYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",
LBB7883,NY,PAS,9116836900,4/1/2024,09:35A,NO PARKING-STREET CLEANING,65,0,0,0,0.0,65.0,77,K,TRAFFIC,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDFSRmVFNXFaM3BPYW10M1RVRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",
7FB3039,MD,PAS,9116836911,4/1/2024,09:39A,NO PARKING-STREET CLEANING,65,0,0,0,0.0,65.0,77,K,TRAFFIC,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDFSRmVFNXFaM3BPYW10NFRWRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",
TPF9393,VA,PAS,9116836923,4/1/2024,09:41A,NO PARKING-STREET CLEANING,65,0,0,0,0.0,65.0,77,K,TRAFFIC,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDFSRmVFNXFaM3BPYW10NVRYYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",
MKM4343,PA,PAS,9116836935,4/1/2024,09:42A,NO PARKING-STREET CLEANING,65,0,0,0,0.0,65.0,77,K,TRAFFIC,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDFSRmVFNXFaM3BPYW10NlRsRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",
LDF8747,NY,PAS,9116836947,4/1/2024,09:44A,NO PARKING-STREET CLEANING,65,0,0,0,0.0,65.0,77,K,TRAFFIC,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDFSRmVFNXFaM3BPYW1zd1RuYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",
JAHANGIR,NY,OMT,9116836960,4/1/2024,10:00A,REG. STICKER-EXPIRED/MISSING,65,0,0,0,0.0,65.0,77,K,TRAFFIC,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDFSRmVFNXFaM3BPYW1zeVRVRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",
KSA5628,NY,PAS,9116836972,4/1/2024,11:20A,NO STANDING-EXC. TRUCK LOADING,95,0,0,0,0.0,95.0,77,K,TRAFFIC,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDFSRmVFNXFaM3BPYW1zelRXYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",
LFW6878,NY,PAS,9116836984,4/1/2024,11:21A,NO STANDING-EXC. TRUCK LOADING,95,0,0,0,0.0,95.0,77,K,TRAFFIC,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDFSRmVFNXFaM3BPYW1zMFRrRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",
LFR2518,NY,PAS,9116836996,4/1/2024,11:22A,NO STANDING-EXC. TRUCK LOADING,95,0,0,0,0.0,95.0,77,K,TRAFFIC,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDFSRmVFNXFaM3BPYW1zMVRtYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",
LFC1721,NY,PAS,9116837009,4/1/2024,11:23A,NO STANDING-EXC. TRUCK LOADING,95,0,0,0,0.0,95.0,77,K,TRAFFIC,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDFSRmVFNXFaM3BPZWtGM1QxRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",
LET3904,NY,PAS,9116837010,4/1/2024,11:25A,DOUBLE PARKING,115,0,0,0,0.0,115.0,77,K,TRAFFIC,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDFSRmVFNXFaM3BPZWtGNFRVRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",
HLP1001,NY,PAS,9116837022,4/1/2024,12:09P,NO STANDING-EXC. TRUCK LOADING,95,0,0,0,0.0,95.0,77,K,TRAFFIC,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDFSRmVFNXFaM3BPZWtGNVRXYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",
KFJ3300,NY,PAS,9116837034,4/1/2024,12:10P,NO STANDING-EXC. TRUCK LOADING,95,0,0,0,0.0,95.0,77,K,TRAFFIC,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDFSRmVFNXFaM3BPZWtGNlRrRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",
13483NA,NY,COM,9116837058,4/2/2024,08:46A,OBSTRUCTING TRAFFIC/INTERSECT,115,0,0,0,0.0,115.0,84,K,TRAFFIC,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDFSRmVFNXFaM3BPZWtFeFQwRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",
LFH9322,NY,PAS,9116841098,3/29/2024,01:25P,NO STANDING-BUS STOP,115,0,0,0,0.0,115.0,90,K,TRAFFIC,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDFSRmVFNXFaekJOVkVFMVQwRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",
57963MM,NY,COM,9116837046,4/1/2024,12:54P,NO STANDING-BUS STOP,115,0,0,0,115.0,0.0,84,K,TRAFFIC,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDFSRmVFNXFaM3BPZWtFd1RtYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",
MFY8543,PA,PAS,9116841116,3/29/2024,01:36P,FIRE HYDRANT,115,0,0,0,0.0,115.0,90,K,TRAFFIC,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDFSRmVFNXFaekJOVkVWNFRtYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",
HPY6313,NY,PAS,9116841128,3/29/2024,01:42P,INSP. STICKER-EXPIRED/MISSING,65,0,0,0,0.0,65.0,90,K,TRAFFIC,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDFSRmVFNXFaekJOVkVWNVQwRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",
KSS5136,NY,PAS,9116841130,3/29/2024,01:49P,REG. STICKER-EXPIRED/MISSING,65,0,0,0,0.0,65.0,90,K,TRAFFIC,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDFSRmVFNXFaekJOVkVWNlRVRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",
LAM5966,NY,PAS,9116841141,3/29/2024,02:26P,INSP. STICKER-EXPIRED/MISSING,65,0,0,0,0.0,65.0,90,K,TRAFFIC,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDFSRmVFNXFaekJOVkVVd1RWRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",
SHE8,NY,SRF,9116841165,3/29/2024,02:32P,NO PARKING-DAY/TIME LIMITS,60,0,0,0,0.0,60.0,90,K,TRAFFIC,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDFSRmVFNXFaekJOVkVVeVRsRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",
KXZ9512,NY,PAS,9116841177,3/29/2024,02:33P,NO PARKING-DAY/TIME LIMITS,60,0,0,0,0.0,60.0,90,K,TRAFFIC,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDFSRmVFNXFaekJOVkVVelRuYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",
AZ90584,CT,PAS,9116841190,3/29/2024,02:38P,NO STANDING-DAY/TIME LIMITS,115,0,0,0,0.0,115.0,90,K,TRAFFIC,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDFSRmVFNXFaekJOVkVVMVRVRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",
LDP1086,NY,PAS,9116841207,3/29/2024,02:39P,NO STANDING-DAY/TIME LIMITS,115,0,0,0,0.0,115.0,90,K,TRAFFIC,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDFSRmVFNXFaekJOVkVsM1RuYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",
HYB4342,NY,PAS,9116841219,3/29/2024,02:58P,INSP. STICKER-EXPIRED/MISSING,65,0,0,0,0.0,65.0,90,K,TRAFFIC,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDFSRmVFNXFaekJOVkVsNFQxRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",
HYB4342,NY,PAS,9116841220,3/29/2024,02:59P,NON-COMPLIANCE W/ POSTED SIGN,60,0,0,0,0.0,60.0,90,K,TRAFFIC,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDFSRmVFNXFaekJOVkVsNVRVRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",
E77MZC,NJ,PAS,9116841232,3/29/2024,03:19P,FIRE HYDRANT,115,0,0,0,0.0,115.0,90,K,TRAFFIC,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDFSRmVFNXFaekJOVkVsNlRXYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",
HMK9240,NY,PAS,9116841244,3/29/2024,03:23P,NO STANDING-EXC. TRUCK LOADING,95,0,0,0,0.0,95.0,90,K,TRAFFIC,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDFSRmVFNXFaekJOVkVrd1RrRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",
K48SZW,NJ,PAS,9116841256,3/29/2024,03:55P,FIRE HYDRANT,115,0,0,0,0.0,115.0,90,K,TRAFFIC,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDFSRmVFNXFaekJOVkVreFRtYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",
HXA8007,NY,PAS,9116841268,3/29/2024,04:02P,REG. STICKER-EXPIRED/MISSING,65,0,0,0,0.0,65.0,90,K,TRAFFIC,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDFSRmVFNXFaekJOVkVreVQwRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",
LAG7229,NY,PAS,9116841270,3/29/2024,04:08P,FIRE HYDRANT,115,0,0,0,0.0,115.0,90,K,TRAFFIC,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDFSRmVFNXFaekJOVkVrelRVRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",
KZJ6400,NY,PAS,9116841281,3/29/2024,04:15P,NO STANDING-DAY/TIME LIMITS,115,0,0,0,0.0,115.0,90,K,TRAFFIC,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDFSRmVFNXFaekJOVkVrMFRWRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",
3CK8664,MD,PAS,9116841311,3/29/2024,04:21P,NO STANDING-DAY/TIME LIMITS,115,0,0,0,0.0,115.0,90,K,TRAFFIC,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDFSRmVFNXFaekJOVkUxNFRWRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",
KEF7740,NY,PAS,9116841323,3/29/2024,04:32P,NON-COMPLIANCE W/ POSTED SIGN,60,0,0,0,0.0,60.0,90,K,TRAFFIC,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDFSRmVFNXFaekJOVkUxNVRYYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",
LFY3130,NY,PAS,9116841347,3/29/2024,04:53P,FIRE HYDRANT,115,0,0,0,0.0,115.0,90,K,TRAFFIC,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDFSRmVFNXFaekJOVkUwd1RuYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",
W804F,FL,PAS,9116841359,3/29/2024,05:34P,FIRE HYDRANT,115,0,0,0,0.0,115.0,90,K,TRAFFIC,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDFSRmVFNXFaekJOVkUweFQxRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",
GLC5988,NY,PAS,9116841360,3/29/2024,05:42P,NON-COMPLIANCE W/ POSTED SIGN,60,0,0,0,0.0,60.0,90,K,TRAFFIC,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDFSRmVFNXFaekJOVkUweVRVRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",
LXFD16,FL,PAS,9116841372,3/29/2024,05:53P,NO STANDING-DAY/TIME LIMITS,115,0,0,0,0.0,115.0,90,K,TRAFFIC,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDFSRmVFNXFaekJOVkUwelRXYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",
DGZ3030,NY,PAS,9116841153,3/29/2024,02:28P,INSP. STICKER-EXPIRED/MISSING,65,0,0,0,65.0,0.0,90,K,TRAFFIC,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDFSRmVFNXFaekJOVkVVeFRYYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",
GYR8381,PA,PAS,9116841384,3/29/2024,05:57P,NO STANDING-DAY/TIME LIMITS,115,0,0,0,0.0,115.0,90,K,TRAFFIC,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDFSRmVFNXFaekJOVkUwMFRrRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",
JGX6962,NY,PAS,9116841396,4/1/2024,01:36P,NO STANDING-DAY/TIME LIMITS,115,0,0,0,0.0,115.0,90,K,TRAFFIC,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDFSRmVFNXFaekJOVkUwMVRtYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",
KKY4217,NY,PAS,9116841402,4/1/2024,01:37P,NO PARKING-DAY/TIME LIMITS,60,0,0,0,0.0,60.0,90,K,TRAFFIC,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDFSRmVFNXFaekJOVkZGM1RXYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",
KYR3452,NY,PAS,9116841414,4/1/2024,01:38P,NO PARKING-DAY/TIME LIMITS,60,0,0,0,0.0,60.0,90,K,TRAFFIC,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDFSRmVFNXFaekJOVkZGNFRrRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",
HLP8670,NY,PAS,9116841426,4/1/2024,01:40P,INSP. STICKER-EXPIRED/MISSING,65,0,0,0,0.0,65.0,90,K,TRAFFIC,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDFSRmVFNXFaekJOVkZGNVRtYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",
KLD6656,NY,PAS,9116841438,4/1/2024,01:45P,FRONT OR BACK PLATE MISSING,65,0,0,0,0.0,65.0,90,K,TRAFFIC,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDFSRmVFNXFaekJOVkZGNlQwRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",
KCUV93,FL,PAS,9116841440,4/1/2024,01:47P,NO STANDING-EXC. TRUCK LOADING,95,0,0,0,0.0,95.0,90,K,TRAFFIC,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDFSRmVFNXFaekJOVkZFd1RVRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",
509336,NY,PAS,9116841451,4/1/2024,01:48P,NO STANDING-EXC. TRUCK LOADING,95,0,0,0,0.0,95.0,90,K,TRAFFIC,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDFSRmVFNXFaekJOVkZFeFRWRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",
HVD6514,NY,PAS,9116841463,4/1/2024,01:50P,NO STANDING-DAY/TIME LIMITS,115,0,0,0,0.0,115.0,90,K,TRAFFIC,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDFSRmVFNXFaekJOVkZFeVRYYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",
KNM5511,NY,PAS,9116841475,4/1/2024,01:55P,INSP. STICKER-EXPIRED/MISSING,65,0,0,0,0.0,65.0,90,K,TRAFFIC,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDFSRmVFNXFaekJOVkZFelRsRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",
KFY7564,NY,PAS,9116841487,4/1/2024,01:56P,INSP. STICKER-EXPIRED/MISSING,65,0,0,0,0.0,65.0,90,K,TRAFFIC,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDFSRmVFNXFaekJOVkZFMFRuYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",
KVC3703,NY,PAS,9116841505,4/1/2024,02:04P,INSP. STICKER-EXPIRED/MISSING,65,0,0,0,0.0,65.0,90,K,TRAFFIC,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDFSRmVFNXFaekJOVkZWM1RsRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",
HPY6313,NY,PAS,9116841517,4/1/2024,02:06P,INSP. STICKER-EXPIRED/MISSING,65,0,0,0,0.0,65.0,90,K,TRAFFIC,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDFSRmVFNXFaekJOVkZWNFRuYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",
MBC8215,PA,PAS,9116841529,4/1/2024,02:09P,NO STANDING-DAY/TIME LIMITS,115,0,0,0,0.0,115.0,90,K,TRAFFIC,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDFSRmVFNXFaekJOVkZWNVQxRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",
98676MM,NY,COM,9116841530,4/1/2024,02:11P,INSP. STICKER-EXPIRED/MISSING,65,0,0,0,0.0,65.0,90,K,TRAFFIC,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDFSRmVFNXFaekJOVkZWNlRVRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",
98676MM,NY,COM,9116841542,4/1/2024,02:12P,REG. STICKER-EXPIRED/MISSING,65,0,0,0,0.0,65.0,90,K,TRAFFIC,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDFSRmVFNXFaekJOVkZVd1RXYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",
80813NC,NY,COM,9116841554,4/1/2024,02:18P,INSP. STICKER-EXPIRED/MISSING,65,0,0,0,0.0,65.0,90,K,TRAFFIC,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDFSRmVFNXFaekJOVkZVeFRrRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",
LGK4206,NY,PAS,9116841566,4/1/2024,02:27P,INSP. STICKER-EXPIRED/MISSING,65,0,0,0,0.0,65.0,90,K,TRAFFIC,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDFSRmVFNXFaekJOVkZVeVRtYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",
KUH7115,NY,PAS,9116841578,4/1/2024,02:29P,INSP. STICKER-EXPIRED/MISSING,65,0,0,0,0.0,65.0,90,K,TRAFFIC,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDFSRmVFNXFaekJOVkZVelQwRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",
AM66250,CT,PAS,9116841580,4/1/2024,02:32P,NO STANDING-DAY/TIME LIMITS,115,0,0,0,0.0,115.0,90,K,TRAFFIC,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDFSRmVFNXFaekJOVkZVMFRVRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",HEARING PENDING
38BBTI,FL,PAS,9116841591,4/1/2024,02:34P,NO STANDING-EXC. TRUCK LOADING,95,0,0,0,0.0,95.0,90,K,TRAFFIC,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDFSRmVFNXFaekJOVkZVMVRWRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",
KKX3619,NY,PAS,9116841608,4/1/2024,02:38P,INSP. STICKER-EXPIRED/MISSING,65,0,0,0,0.0,65.0,90,K,TRAFFIC,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDFSRmVFNXFaekJOVkZsM1QwRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",
